subject,trans_f1,cnn_f1,diff
31,78.79,80.0,-1.2099999999999937
34,90.91,92.31,-1.4000000000000057
36,88.52,80.0,8.519999999999996
37,91.75,91.89,-0.14000000000000057
38,78.82,74.84,3.9799999999999898
43,97.84,93.62,4.219999999999999
44,89.06,83.91,5.150000000000006
46,88.05,76.5,11.549999999999997
49,93.42,87.58,5.840000000000003
50,98.41,96.12,2.289999999999992
51,85.25,85.71,-0.45999999999999375
52,85.53,90.0,-4.469999999999999
53,91.47,92.31,-0.8400000000000034
54,94.97,89.16,5.810000000000002
55,97.9,96.75,1.1500000000000057
56,96.21,94.2,2.009999999999991
58,98.38,97.85,0.5300000000000011
60,86.02,90.48,-4.460000000000008
61,87.18,84.21,2.970000000000013
62,97.56,92.31,5.25
63,97.01,96.4,0.6099999999999994
