subject,trans_f1,trans_prec,trans_recall,trans_acc,cnn_f1,cnn_prec,cnn_recall,cnn_acc,delta_f1,delta_prec,delta_recall,winner
46,88.05,85.37,90.91,88.05,76.5,66.04,90.91,72.96,11.549999999999997,19.33,0.0,Transformer
36,88.52,81.82,96.43,82.5,80.0,81.48,78.57,72.5,8.519999999999996,0.3399999999999892,17.860000000000014,Transformer
49,93.42,93.42,93.42,90.0,87.58,87.01,88.16,81.0,5.840000000000003,6.409999999999997,5.260000000000005,Transformer
54,94.97,92.39,97.7,92.56,89.16,93.67,85.06,85.12,5.810000000000002,-1.2800000000000011,12.64,Transformer
62,97.56,98.36,96.77,95.77,92.31,98.18,87.1,87.32,5.25,0.1799999999999926,9.670000000000002,Transformer
44,89.06,90.77,87.41,86.38,83.91,73.08,98.52,76.06,5.150000000000006,17.689999999999998,-11.11,Transformer
43,97.84,97.14,98.55,96.63,93.62,91.67,95.65,89.89,4.219999999999999,5.469999999999999,2.8999999999999915,Transformer
38,78.82,80.72,77.01,70.73,74.84,85.29,66.67,68.29,3.9799999999999898,-4.570000000000007,10.340000000000003,Transformer
61,87.18,78.46,98.08,79.17,84.21,77.42,92.31,75.0,2.970000000000013,1.039999999999992,5.769999999999996,Transformer
50,98.41,96.88,100.0,97.78,96.12,92.54,100.0,94.44,2.289999999999992,4.339999999999989,0.0,Transformer
56,96.21,95.49,96.95,93.87,94.2,89.66,99.24,90.18,2.009999999999991,5.829999999999998,-2.289999999999992,Transformer
55,97.9,96.55,99.29,96.45,96.75,98.53,95.04,94.67,1.1500000000000057,-1.980000000000004,4.25,Transformer
63,97.01,99.24,94.89,95.21,96.4,95.04,97.81,94.01,0.6099999999999994,4.199999999999989,-2.9200000000000017,Transformer
58,98.38,96.81,100.0,97.35,97.85,95.79,100.0,96.46,0.5300000000000011,1.019999999999996,0.0,Transformer
37,91.75,84.76,100.0,85.05,91.89,88.54,95.51,85.98,-0.14000000000000057,-3.780000000000001,4.489999999999995,CNN
51,85.25,96.3,76.47,79.55,85.71,93.1,79.41,79.55,-0.45999999999999375,3.200000000000003,-2.9399999999999977,CNN
53,91.47,85.51,98.33,86.25,92.31,85.71,100.0,87.5,-0.8400000000000034,-0.19999999999998863,-1.6700000000000017,CNN
31,78.79,65.0,100.0,75.0,80.0,66.67,100.0,76.79,-1.2099999999999937,-1.6700000000000017,0.0,CNN
34,90.91,83.33,100.0,83.33,92.31,85.71,100.0,86.11,-1.4000000000000057,-2.3799999999999955,0.0,CNN
60,86.02,80.0,93.02,81.69,90.48,92.68,88.37,88.73,-4.460000000000008,-12.680000000000007,4.6499999999999915,CNN
52,85.53,80.95,90.67,80.0,90.0,84.71,96.0,86.09,-4.469999999999999,-3.759999999999991,-5.329999999999998,CNN
