fold,Linear_Def_val_acc,Linear_Def_val_f1,Linear_Def_test_acc,Linear_Def_test_f1,Linear_Tune_val_acc,Linear_Tune_val_f1,Linear_Tune_test_acc,Linear_Tune_test_f1,EKF_Def_val_acc,EKF_Def_val_f1,EKF_Def_test_acc,EKF_Def_test_f1,EKF_Tune_val_acc,EKF_Tune_val_f1,EKF_Tune_test_acc,EKF_Tune_test_f1
31,95.29,96.31,75.00,72.22,95.29,96.31,75.00,72.22,95.88,96.80,76.25,72.46,96.18,96.96,78.75,74.63
34,96.76,97.46,94.87,96.77,97.06,97.70,94.87,96.77,95.88,96.79,92.31,95.24,96.47,97.21,97.44,98.36
36,96.18,97.03,77.55,83.58,95.88,96.79,79.59,84.85,95.88,96.70,77.55,83.08,95.59,96.54,77.55,83.58
37,97.35,97.93,88.55,91.53,97.35,97.93,87.79,90.91,97.35,97.95,87.02,90.71,95.00,96.00,87.02,90.61
38,95.29,96.24,63.69,61.22,95.59,96.49,65.61,64.00,96.76,97.42,68.79,69.57,97.65,98.13,68.15,67.95
43,93.82,95.01,97.98,98.53,93.82,95.01,97.98,98.53,95.29,96.31,95.96,97.06,95.88,96.74,95.96,97.06
44,97.06,97.71,84.65,86.60,96.76,97.47,83.07,85.22,93.82,94.99,88.19,88.37,96.47,97.18,86.61,87.31
45,97.65,98.16,100.00,100.00,97.94,98.39,100.00,100.00,94.12,95.41,100.00,100.00,96.76,97.44,100.00,100.00
46,94.41,95.55,91.00,88.75,94.41,95.55,91.00,88.75,96.18,96.98,91.50,89.44,97.35,97.92,88.50,86.23
49,96.47,97.24,84.89,87.43,96.47,97.24,84.89,87.43,96.47,97.24,84.17,85.33,95.88,96.74,87.77,88.89
50,96.18,97.04,97.27,97.64,96.18,97.04,97.27,97.64,95.88,96.79,97.27,97.64,95.29,96.28,96.36,96.88
51,95.88,96.79,79.66,81.82,96.18,97.01,79.66,81.82,96.47,97.21,83.05,84.38,96.76,97.47,83.05,84.38
52,95.29,96.28,93.06,92.96,95.29,96.28,92.36,92.20,95.59,96.63,81.25,82.80,97.94,98.38,84.72,84.51
53,97.65,98.15,88.12,89.66,98.24,98.61,88.12,89.66,95.00,96.11,81.19,81.90,96.76,97.47,87.13,88.70
54,97.06,97.67,78.15,77.85,97.35,97.90,76.82,76.82,95.88,96.77,75.50,75.50,97.35,97.92,78.81,78.38
55,94.71,95.77,89.16,91.73,94.41,95.53,88.67,91.32,96.18,96.96,77.83,81.78,97.06,97.69,77.83,81.01
56,95.59,96.49,88.95,91.87,95.29,96.31,87.85,90.83,96.18,97.03,85.08,88.61,94.41,95.53,85.64,88.98
58,95.59,96.54,93.88,94.80,95.59,96.54,93.88,94.80,95.59,96.61,96.60,97.27,95.59,96.52,96.60,97.21
60,97.94,98.39,88.76,88.89,97.35,97.93,89.89,89.89,92.35,94.14,82.02,82.22,95.59,96.49,91.01,90.91
61,95.88,96.73,89.77,90.91,95.29,96.24,89.77,90.91,96.47,97.20,79.55,83.02,97.35,97.92,84.09,87.93
62,95.59,96.49,73.62,79.02,95.29,96.30,80.37,85.19,97.06,97.71,79.75,84.65,96.47,97.21,77.30,82.63
63,94.41,95.59,84.49,88.16,93.24,94.61,84.49,88.16,95.59,96.54,86.63,90.27,96.18,97.01,85.03,88.80
AVERAGE,96.00,96.84,86.50,87.82,95.92,96.78,86.77,88.09,95.72,96.65,84.88,86.42,96.36,97.12,86.15,87.50
