fold,SE_BCE_val_acc,SE_BCE_val_f1,SE_BCE_test_acc,SE_BCE_test_f1,SE_Focal_val_acc,SE_Focal_val_f1,SE_Focal_test_acc,SE_Focal_test_f1,DS_BCE_val_acc,DS_BCE_val_f1,DS_BCE_test_acc,DS_BCE_test_f1,DS_Focal_val_acc,DS_Focal_val_f1,DS_Focal_test_acc,DS_Focal_test_f1
31,95.00,96.02,73.75,66.67,92.35,94.01,76.25,73.24,92.65,94.28,76.25,71.64,90.29,92.93,76.25,70.77
34,90.88,92.46,84.62,90.62,89.71,92.24,92.31,95.24,89.71,92.10,84.62,90.00,94.12,95.56,74.36,80.00
36,94.41,95.61,59.18,69.70,93.24,94.83,75.51,81.82,94.41,95.71,65.31,67.92,90.00,92.64,69.39,74.58
37,94.71,95.85,87.79,91.30,91.18,93.30,84.73,89.90,93.82,95.32,90.84,93.18,85.29,89.54,76.34,85.17
38,90.29,92.27,77.71,80.00,95.00,96.11,66.24,69.36,95.88,96.76,66.24,63.45,85.00,89.44,65.61,73.00
43,95.00,96.06,96.97,97.78,93.53,95.07,95.96,97.14,91.76,93.81,93.94,95.65,91.47,93.51,92.93,94.89
44,94.12,95.35,85.83,87.41,94.41,95.61,82.28,84.75,93.53,95.00,82.28,83.64,94.41,95.77,82.28,83.99
45,95.00,96.02,80.87,89.11,95.88,96.79,80.87,89.11,93.82,95.13,99.13,99.56,91.76,93.94,100.00,100.00
46,94.71,95.73,84.50,80.50,85.88,89.47,83.50,82.35,93.24,94.74,90.50,88.05,87.94,91.14,71.00,71.29
49,93.24,94.71,79.86,83.33,91.76,93.67,78.42,82.14,92.65,94.33,82.73,85.37,82.94,87.39,77.70,82.08
50,92.94,94.47,98.18,98.41,89.41,92.04,94.55,95.38,95.88,96.79,93.64,94.57,88.82,91.85,85.45,88.41
51,93.82,95.04,74.58,75.41,87.65,90.58,84.75,88.00,93.24,94.88,72.88,70.37,81.76,87.03,69.49,73.53
52,93.82,95.15,78.47,80.98,91.76,93.69,75.69,79.53,96.76,97.48,84.72,85.33,82.94,87.17,79.17,82.95
53,94.12,95.39,89.11,90.76,93.82,95.13,90.10,91.94,91.18,93.21,80.20,82.46,83.53,88.28,86.14,89.39
54,90.00,91.94,61.59,59.72,76.47,82.91,74.17,78.45,94.71,95.96,84.77,87.15,80.29,86.46,74.17,79.14
55,93.24,94.69,88.18,91.24,88.82,91.32,90.64,93.33,93.53,95.05,79.31,83.46,86.76,90.45,86.21,89.93
56,95.29,96.28,85.64,89.26,92.65,94.25,91.16,93.50,91.18,93.06,92.27,94.40,89.41,92.14,91.16,93.80
58,95.00,96.09,97.96,98.36,87.65,90.71,96.60,97.33,94.41,95.63,93.20,94.44,81.18,87.15,88.44,91.46
60,94.41,95.49,79.78,80.43,95.29,96.40,75.28,78.00,89.12,91.69,71.91,76.19,91.18,93.36,66.29,72.73
61,95.00,96.04,77.27,82.14,83.53,87.44,67.05,76.42,88.24,90.99,86.36,88.24,76.47,84.37,69.32,78.74
62,91.47,93.14,80.37,85.71,91.18,93.36,84.66,89.36,91.18,93.21,95.09,96.72,81.76,87.40,90.18,93.70
63,94.12,95.45,93.58,95.68,86.47,90.13,97.33,98.19,88.53,91.58,94.12,96.11,82.35,87.65,87.70,92.26
AVERAGE,93.66,94.97,82.54,84.75,90.35,92.68,83.55,86.57,92.70,94.40,84.56,85.81,86.35,90.23,79.98,83.72
