model,folds,accuracy_mean,accuracy_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,auc_mean,auc_std
transformer_se_2025-11-30_02-06-39,22,86.35727272727273,9.18199282333591,86.3731818181818,10.547990730066006,93.30727272727273,8.619526659094445,81.16363636363636,13.11491646051296,87.50863636363637,8.477749755040596
transformer_se_smv_2025-11-30_04-29-44,22,85.50045454545453,9.81891589267162,85.5409090909091,11.475646224812625,91.61090909090909,9.560240537465525,81.23500000000001,14.856516527548887,86.63045454545454,9.284000306350258
transformer_baseline_smv_2025-11-30_04-25-12,22,81.21272727272726,12.781049283185663,81.27954545454546,13.205531120121682,93.10045454545453,6.296901337182952,74.13181818181819,18.27336798428734,83.96318181818181,9.05498304611157
transformer_baseline_2025-11-30_02-06-39,22,77.60636363636362,9.722154643343774,76.28818181818181,13.59769575590401,93.63181818181819,9.346938707591017,66.87772727272726,17.262510972188696,80.68227272727273,8.350597886674647
imu_se_smv_2025-11-30_04-29-44,21,48.078571428571436,12.842251082156231,62.529523809523816,12.404771854488287,46.63047619047619,13.382604931847341,99.88571428571429,0.523722936566383,51.5947619047619,5.468555219660509
imu_se_2025-11-30_02-07-35,21,48.021904761904764,12.80571966702677,62.50142857142858,12.402802217932159,46.59952380952382,13.381312146493883,99.9,0.45825756949558283,51.56,5.333696654291468
dual_stream_robust_smv_2025-11-30_04-41-29,21,47.92000000000001,12.436462519543088,62.21285714285715,12.310606460632696,46.45333333333334,13.315355546636123,99.13285714285715,3.46356340039726,51.278571428571425,4.097899810530127
dual_stream_simple_2025-11-30_02-07-35,21,47.03619047619048,12.209805271252478,61.97095238095238,12.434850986144511,46.04904761904762,13.478958010455374,99.88571428571429,0.523722936566383,50.78666666666667,2.634437953972979
imu_baseline_smv_2025-11-30_04-29-44,21,46.86095238095239,12.33868992428366,61.91476190476192,12.501493358414274,45.99809523809524,13.533648665104183,99.93571428571428,0.2945941518185885,50.68666666666667,2.3985585949343275
imu_baseline_2025-11-30_02-07-35,21,46.704285714285724,12.45510721408233,61.85000000000001,12.55273117691923,45.93857142857143,13.581101312380484,99.92857142857143,0.3273268353539886,50.56333333333333,2.281235045613085
dual_stream_robust_2025-11-30_02-28-56,21,47.49619047619048,12.186246130860184,61.60857142857144,12.770880660985867,46.06714285714286,13.459611488767848,98.07619047619048,8.545051478013738,50.71761904761905,2.5780261921902667
dual_stream_simple_smv_2025-11-30_04-41-29,21,46.71380952380952,12.446975325833373,61.60761904761906,12.8122039106322,45.83380952380952,13.68310764270693,99.02666666666667,3.9452925535799426,50.34952380952382,2.299794504277449
