test_subject,train_loss,train_accuracy,train_f1_score,train_precision,train_recall,train_auc,val_loss,val_accuracy,val_f1_score,val_precision,val_recall,val_auc,test_loss,test_accuracy,test_f1_score,test_precision,test_recall,test_auc
31,0.012206,53.42,59.07,43.54,91.81,61.53,0.014755,49.49,66.21,49.49,100.0,50.0,0.016775,53.7,69.88,53.7,100.0,50.0
34,0.012605,51.21,58.14,42.38,92.53,59.94,0.014812,49.49,66.21,49.49,100.0,50.0,0.023499,56.41,72.13,56.41,100.0,50.0
36,0.012458,53.4,58.48,43.32,89.94,61.17,0.014875,49.49,66.21,49.49,100.0,50.0,0.015479,80.65,89.29,80.65,100.0,50.0
37,0.012216,53.52,59.66,43.76,93.73,61.99,0.014787,49.49,66.21,49.49,100.0,50.0,0.029601,33.33,50.0,33.33,100.0,50.0
38,0.012427,52.94,57.82,43.04,88.06,60.35,0.014818,49.49,66.21,49.49,100.0,50.0,0.021501,40.31,57.46,40.31,100.0,50.0
43,0.011296,58.51,62.92,46.92,95.49,66.2,0.014669,49.49,66.21,49.49,100.0,50.0,1.051014,36.48,47.03,32.97,81.96,47.29
44,0.010038,58.85,63.81,51.79,83.12,61.59,0.012816,49.49,66.21,49.49,100.0,50.0,0.155697,34.89,33.09,19.92,97.6,60.05
46,0.012292,54.48,58.31,44.18,85.73,60.88,0.014591,49.49,66.21,49.49,100.0,50.0,0.013989,34.99,51.84,34.99,100.0,50.0
49,0.01251,51.99,57.48,42.35,89.41,60.04,0.015016,49.49,66.21,49.49,100.0,50.0,0.01487,48.07,64.93,48.07,100.0,50.0
50,0.012404,51.99,58.85,42.55,95.38,61.48,0.015032,49.49,66.21,49.49,100.0,50.0,0.015544,53.52,69.73,53.52,100.0,50.0
51,0.012467,52.03,58.21,42.46,92.56,60.84,0.015001,49.49,66.21,49.49,100.0,50.0,0.014491,53.23,69.48,53.23,100.0,50.0
52,0.01251,52.85,56.15,42.18,83.97,59.67,0.014852,49.49,66.21,49.49,100.0,50.0,0.014633,53.96,70.09,53.96,100.0,50.0
53,0.012272,53.68,58.81,43.39,91.24,61.78,0.01496,49.49,66.21,49.49,100.0,50.0,0.015487,50.11,66.76,50.11,100.0,50.0
54,0.012476,51.75,58.03,42.5,91.47,60.21,0.014849,49.49,66.21,49.49,100.0,50.0,0.014801,43.56,60.69,43.56,100.0,50.0
55,0.012352,52.4,59.01,43.1,93.51,61.07,0.014815,49.49,66.21,49.49,100.0,50.0,0.014285,37.87,54.93,37.87,100.0,50.0
56,0.012509,53.45,58.23,43.52,87.95,60.62,0.014759,49.49,66.21,49.49,100.0,50.0,0.015557,30.02,46.18,30.02,100.0,50.0
58,0.012384,51.87,58.7,42.82,93.29,60.59,0.014757,49.49,66.21,49.49,100.0,50.0,0.014903,36.67,53.66,36.67,100.0,50.0
60,0.012592,51.0,57.74,41.8,93.3,60.32,0.015002,49.49,66.21,49.49,100.0,50.0,0.015095,54.32,70.4,54.32,100.0,50.0
61,0.013235,52.29,58.36,42.4,93.59,61.46,0.014968,49.49,66.21,49.49,100.0,50.0,0.015858,67.68,80.72,67.68,100.0,50.0
62,0.012454,52.0,58.44,42.78,92.17,60.48,0.014833,49.49,66.21,49.49,100.0,50.0,0.015999,38.66,55.76,38.66,100.0,50.0
63,0.012535,51.04,58.1,42.25,93.02,59.97,0.01487,49.49,66.21,49.49,100.0,50.0,0.014658,42.56,59.71,42.56,100.0,50.0
Average,0.012297,53.08,58.78,43.48,91.01,61.06,0.014754,49.49,66.21,49.49,100.0,50.0,0.072559,46.71,61.61,45.83,99.03,50.35
